ticker,company_name,sector,cik,year,document_type,source,status,notes
AAPL,Apple,Technology,320193,2017,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 206517. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
AAPL,Apple,Technology,320193,2018,DEF 14A proxy statement,SEC EDGAR,missing,No DEF 14A filing found for this filing year.
AAPL,Apple,Technology,320193,2019,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 175659. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
AAPL,Apple,Technology,320193,2020,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 185553. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
AAPL,Apple,Technology,320193,2021,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 189397. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
AAPL,Apple,Technology,320193,2022,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 363372. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
AAPL,Apple,Technology,320193,2023,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 297102. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
AAPL,Apple,Technology,320193,2024,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 299918. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
NVDA,NVIDIA,Technology,1045810,2016,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 416234. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
NVDA,NVIDIA,Technology,1045810,2017,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 187401. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
NVDA,NVIDIA,Technology,1045810,2018,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 390356. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
NVDA,NVIDIA,Technology,1045810,2019,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 189583. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
NVDA,NVIDIA,Technology,1045810,2020,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 389117. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
NVDA,NVIDIA,Technology,1045810,2021,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 211568. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
NVDA,NVIDIA,Technology,1045810,2022,DEF 14A proxy statement,SEC EDGAR,missing,downloaded on attempt 1. Text too short or unavailable. Clean text length: 964.
NVDA,NVIDIA,Technology,1045810,2023,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 251743. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
NVDA,NVIDIA,Technology,1045810,2024,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 256884. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
GOOGL,Alphabet,Technology,1652044,2016,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 317888. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
GOOGL,Alphabet,Technology,1652044,2017,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 314625. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
GOOGL,Alphabet,Technology,1652044,2018,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 310828. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
GOOGL,Alphabet,Technology,1652044,2019,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 351435. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
GOOGL,Alphabet,Technology,1652044,2020,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 328247. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
GOOGL,Alphabet,Technology,1652044,2021,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 337395. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
GOOGL,Alphabet,Technology,1652044,2022,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 508643. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
GOOGL,Alphabet,Technology,1652044,2023,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 461025. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
GOOGL,Alphabet,Technology,1652044,2024,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 381274. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
META,Meta Platforms,Technology,1326801,2016,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 754192. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
META,Meta Platforms,Technology,1326801,2017,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 186226. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
META,Meta Platforms,Technology,1326801,2018,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 198547. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
META,Meta Platforms,Technology,1326801,2019,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 255279. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
META,Meta Platforms,Technology,1326801,2020,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 305874. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
META,Meta Platforms,Technology,1326801,2021,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 334017. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
META,Meta Platforms,Technology,1326801,2022,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 335987. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
META,Meta Platforms,Technology,1326801,2023,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 380457. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
META,Meta Platforms,Technology,1326801,2024,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 499847. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
AVGO,Broadcom,Technology,1730168,2016,DEF 14A proxy statement,SEC EDGAR,missing,No DEF 14A filing found for this filing year.
AVGO,Broadcom,Technology,1730168,2017,DEF 14A proxy statement,SEC EDGAR,missing,No DEF 14A filing found for this filing year.
AVGO,Broadcom,Technology,1730168,2018,DEF 14A proxy statement,SEC EDGAR,missing,No DEF 14A filing found for this filing year.
AVGO,Broadcom,Technology,1730168,2019,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 308862. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
AVGO,Broadcom,Technology,1730168,2020,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 220071. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
AVGO,Broadcom,Technology,1730168,2021,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 346688. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
AVGO,Broadcom,Technology,1730168,2022,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 221884. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
AVGO,Broadcom,Technology,1730168,2023,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 321492. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
AVGO,Broadcom,Technology,1730168,2024,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 225882. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
CRM,Salesforce,Technology,1108524,2016,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 238263. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
CRM,Salesforce,Technology,1108524,2017,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 503873. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
CRM,Salesforce,Technology,1108524,2018,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 528324. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
CRM,Salesforce,Technology,1108524,2019,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 537327. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
CRM,Salesforce,Technology,1108524,2020,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 541593. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
CRM,Salesforce,Technology,1108524,2021,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 438039. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
CRM,Salesforce,Technology,1108524,2022,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 553249. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
CRM,Salesforce,Technology,1108524,2023,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 490498. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
CRM,Salesforce,Technology,1108524,2024,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 523207. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
ORCL,Oracle,Technology,1341439,2016,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 267909. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
ORCL,Oracle,Technology,1341439,2017,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 378616. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
ORCL,Oracle,Technology,1341439,2018,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 301746. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
ORCL,Oracle,Technology,1341439,2019,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 284664. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
ORCL,Oracle,Technology,1341439,2020,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 399460. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
ORCL,Oracle,Technology,1341439,2021,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 421287. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
ORCL,Oracle,Technology,1341439,2022,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 279600. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
ORCL,Oracle,Technology,1341439,2023,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 441566. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
ORCL,Oracle,Technology,1341439,2024,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 312410. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
IBM,IBM,Technology,51143,2016,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 286718. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
IBM,IBM,Technology,51143,2017,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 312051. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
IBM,IBM,Technology,51143,2018,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 322879. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
IBM,IBM,Technology,51143,2019,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 359864. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
IBM,IBM,Technology,51143,2020,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 357639. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
IBM,IBM,Technology,51143,2021,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 379074. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
IBM,IBM,Technology,51143,2022,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 366567. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
IBM,IBM,Technology,51143,2023,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 385062. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
IBM,IBM,Technology,51143,2024,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 361169. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
INTC,Intel,Technology,50863,2016,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 263938. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
INTC,Intel,Technology,50863,2017,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 390487. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
INTC,Intel,Technology,50863,2018,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 333090. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
INTC,Intel,Technology,50863,2019,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 476851. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
INTC,Intel,Technology,50863,2020,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 482281. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
INTC,Intel,Technology,50863,2021,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 442691. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
INTC,Intel,Technology,50863,2022,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 587092. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
INTC,Intel,Technology,50863,2023,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 573639. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
INTC,Intel,Technology,50863,2024,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 434023. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
BRK.B,Berkshire Hathaway,Financials,1067983,2016,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 61139. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, financial_performance_growth."
BRK.B,Berkshire Hathaway,Financials,1067983,2017,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 75432. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
BRK.B,Berkshire Hathaway,Financials,1067983,2018,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 73826. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
BRK.B,Berkshire Hathaway,Financials,1067983,2019,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 62678. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
BRK.B,Berkshire Hathaway,Financials,1067983,2020,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 77010. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
BRK.B,Berkshire Hathaway,Financials,1067983,2021,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 75421. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, financial_performance_growth."
BRK.B,Berkshire Hathaway,Financials,1067983,2022,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 82935. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
BRK.B,Berkshire Hathaway,Financials,1067983,2023,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 98913. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
BRK.B,Berkshire Hathaway,Financials,1067983,2024,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 104118. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
JPM,JPMorgan Chase,Financials,19617,2016,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 351738. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
JPM,JPMorgan Chase,Financials,19617,2017,DEF 14A proxy statement,SEC EDGAR,success,"downloaded on attempt 1. Clean text length: 319783. Themes: innovation, customer_focus, employees_culture, diversity_inclusion, sustainability_environment, community_social_impact, integrity_ethics_trust, health_safety_wellbeing, financial_performance_growth."
